Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee - Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Elementary,"Register, fun, league, after school, games, fitness, basic skills, recreation, sports, flag football, basketball, volleyball, track & field, soccer, elementary school","CREST
 - Youth Sports Leagues
 - Elementary Sports (grades 3 - 5)",130,,per child/per session,,,,,,"Additional information is available at:
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
<a href=""https://activenet004.active.com/santamonicarecreation"" target=""_blank"">https://activenet004.active.com/santamonicarecreation</a>","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Middle School,"Register, fun, league, after school, games, fitness, basic skills, recreation, sports, flag football, basketball, volleyball, track & field, soccer, middle school, junior high","CREST
 - Youth Sports Leagues
 - Middle School Sports",130,,per child/per session,,,,,The CREST program is a joint program between the City and the Santa Monica - Malibu Unified School District.  This fee represents the fee for the City’s portion of the program. ,"Additional information is available at:
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
<a href=""https://activenet004.active.com/santamonicarecreation"" target=""_blank"">https://activenet004.active.com/santamonicarecreation</a>","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Middle School,"Rosie’s Girls, Middle School Girls, Building Leadership, Camps for Girls, SM resident, Girls, trades, non-traditional camp, empowering, team building
","CREST
 - Camp Program - Rosie's Girls
 - Resident",390,,Youth - per week,,,,Residents,,"Additional information is available at: 
<a target=""_blank"">www.smgov.net/reserve</a>
http://www.smgov.net/Departments/CCS/content.aspx?id=32689","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Middle School,"Rosie’s Girls, Middle School Girls, Building Leadership, Camps for Girls,
Girls, trades, non-traditional camp, empowering, team building, non-resident","CREST
 - Camp Program
 - Rosie's Girls
 - Non-Resident",495,,Youth - per week,,,,Non-Residents,,"Additional information is available at: 
<a target=""_blank"">www.smgov.net/reserve</a>
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32689"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32689</a>","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Middle School,"Rosie’s Girls, Middle School Girls, Building Leadership, Camps for Girls,
Girls, trades, non-traditional camp, empowering, team building, extended care, before camp, after camp
","CREST
 - Camp Program - Rosie's Girls
 - Extended Care",35,,Youth - per week,,,,,,"Additional information is available at: 
<a target=""_blank"">www.smgov.net/reserve</a>
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32689"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32689</a>","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Camps,,"day camp, SM resident, fun, affordable, vacation, winter, spring, summer, school break, full day, art, science, sports, water adventures

","CREST
 - Camp Program - Day/Sports Camps
 - Resident Full Day",200,,Youth - per week,,,,Residents,,"Additional information is available at: 
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
https://activenet004.active.com/santamonicarecreation/","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Volleyball Leagues, Recreational Leagues, Volleyball, Coed Sports","Adult Sports League
 - Volleyball
 - Non-Residents",300,,,,,,Non-Residents,Non-Resident Teams (Registration Priority 3) – Less than 60% of players live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Camps,,"day camp, fun, SM resident, affordable, vacation, winter, spring, summer, school break, half day, art, science, sports, water adventures","CREST
 - Camp Program - Day/Sports Camps
 - Resident Half Day",123,,Youth - per week,,,,Residents,,"Additional information is available at: 
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
https://activenet004.active.com/santamonicarecreation/","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Camps,,"day camp, fun, affordable, vacation, winter, spring, summer, school break, full day, art, science, sports, water adventures, non-resident","CREST
 - Camp Program - Day/Sports Camps
 - Non-Resident Full Day",220,,Youth - per week,,,,Non-Residents,,"Additional information is available at: 
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
https://activenet004.active.com/santamonicarecreation/","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Camps,,"day camp, fun, affordable, vacation, winter, spring, summer, school break, half day, art, science, sports, water adventures, non-resident","CREST
 - Camp Program - Day/Sports Camps
 - Non-Resident Half Day",133,,Youth - per week,,,,Non-Residents,,"Additional information is available at: 
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
https://activenet004.active.com/santamonicarecreation/","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Camps,,"day camp, fun, affordable, vacation, winter, spring, summer, school break, art, science, sports, water adventures, extended care, before camp, after camp","CREST
 - Camp Program - Day/Sports Camps 
 - Extended Care",35,,Youth - per week,,,,,,"Additional information is available at: 
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
https://activenet004.active.com/santamonicarecreation/","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Miscellaneous Fees,,"Afterschool, creative, STEM, enrichment, music, arts, theatre, karate, dance, sports, classes, Edison, McKinley, Grant, Roosevelt, John Muir, SMASH, Will Rogers, Franklin, recreation, languages",CREST - Enrichment,,actual cost,,,,,,"A fee will be assessed to cover the instructors’ salaries, materials costs and a portion of administrative expenses.","Additional information is available at: 
<a href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"" target=""_blank"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
https://activenet004.active.com/santamonicarecreation/","<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Sports/Adaptive Recreation/Special Olympics,"Westside Special Olympics, Social Club, Adaptive Recreation, Programs for the disabled",Santa Monica Adaptive Recreation and Sports Social Programs,,actual cost of activity,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Men's Basketball Leagues, Recreational Leagues, Basketball","Adult Sports League
 - Basketball
 - Residents",300,,,,,,Residents,Resident Teams (Registration Priority 1) – At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Men's Basketball Leagues, Recreational Leagues, Basketball","Adult Sports League
 - Basketball
 - Residents/SM Workers",340,,,,,,Residents/SM Workers,Residents/SM Workers (Registration Priority 2) – At least 60% of players must live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Men's Basketball Leagues, Recreational Leagues, Basketball","Adult Sports League
 - Basketball
 - Non-Residents",375,,,,,,Non-Residents,Non-Resident Teams (Registration Priority 3) – Less than 60% of players live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Volleyball Leagues, Recreational Leagues, Volleyball, Coed Sports","Adult Sports League
 - Volleyball
 - Residents",240,,,,,,Residents,Resident Teams (Registration Priority 1) – At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Volleyball Leagues, Recreational Leagues, Volleyball, Coed Sports","Adult Sports League
 - Volleyball
 - Residents/SM Workers",275,,,,,,Residents/SM Workers,Residents/SM Workers (Registration Priority 2) – At least 60% of players must live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Men's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Men's
 - Residents",420,,,,,,Residents - Men,Resident Teams (Registration Priority 1) – At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Men's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Men's
 - Residents/SM Workers",485,,,,,,Residents/SM Workers - Men,Residents/SM Workers (Registration Priority 2) – At least 60% of players must live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Men's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Men's
 - Non-Residents",545,,,,,,Non-Residents - Men,Non-Resident Teams (Registration Priority 3) – Less than 60% of players live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Women's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Women's
 - Residents",400,,,,,,Residents - Women,Resident Teams (Registration Priority 1) – At least 60% of players must live in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Women's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Women's
 - Residents/SM Workers",460,,,,,,Resident/SM Workers - Women,Residents/SM Workers (Registration Priority 2) – At least 60% of players must live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Women's Softball Leagues, Recreational Leagues, Softball","Adult Sports League
 - Softball - Women's
 - Non-Residents",520,,,,,,Non-Residents - Women,Non-Resident Teams (Registration Priority 3) – Less than 60% of players live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Softball Leagues, Recreational Leagues, Softball, Coed Sports","Adult Sports League
 - Softball - Co-ed
 - Residents",400,,,,,,Residents - Coed,Resident Teams (Registration Priority 1) – At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Mobility and Traffic Management,Fees,,"field review, field visit, site inspection, site visit",Administrative Costs-each hour/fraction thereof: Site Inspections - verify existing conditions - each,209.13,,per hour,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Softball Leagues, Recreational Leagues, Softball, Coed Sports","Adult Sports League
 - Softball - Co-ed
 - Residents/SM Workers",460,,,,,,Residents/SM Workers - Coed,Residents/SM Workers (Registration Priority 2) – At least 60% of players must live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Softball Leagues, Recreational Leagues, Softball, Coed Sports","Adult Sports League
 - Softball - Co-ed
 - Non-Residents",520,,,,,,Non-Residents/Coed,Non-Resident Teams (Registration Priority 3) – Less than 60% of players live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Softball Tournaments, Recreational Tournaments, Softball","Adult Sports League
 - Softball - Tournament
 - Residents",150,,,,,,Residents,Resident Teams (Registration Priority 1) – At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, One-Time Registration
 - Residents, Youth",10,,,,,,Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Softball Tournaments, Recreational Tournaments, Softball","Adult Sports League
 - Softball - Tournament
 - Residents/SM Workers",170,,,,,,Residents/SM Workers,Residents/SM Workers (Registration Priority 2) – At least 60% of players must live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Softball Tournaments, Recreational Tournaments, Softball","Adult Sports League
 - Softball - Tournament
 - Non-Residents",190,,,,,,Non-Residents,Resident Teams (Registration Priority 3) – At least 60% of players must live in Santa Monica.  A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","Soccer, Drop-in soccer, Single use, Daily use pass, daily pass, pick-up soccer, Airport Park, Youth daily pass, youth pass","Airport Park Drop - In Soccer Program
 - Daily Use Pass
 - Residents, Youth",1,,,,,,Residents - Youth,"
The fees charged for field use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","Soccer, Drop-in soccer, Single use, Daily use pass, daily pass, pick-up soccer, Airport Park, Adult daily pass, adult pass","Airport Park Drop - In Soccer Program
 - Daily Use Pass
 - Residents, Adult",3,,,,,,Residents - Adult,"Adults (18 - 49 years old). The fees charged for field use shall help offset the cost of staffing, lights, maintenance and equipment.",,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","Soccer, Drop-in soccer, Single use, Daily use pass, daily pass, pick-up soccer, Airport Park, Adult daily pass, adult pass","Airport Park Drop - In Soccer Program
 - Daily Use Pass
 - Residents, Seniors",1,,,,,,Residents - Senior,"Seniors (50 and older). The fees charged for field use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","Soccer, Drop-in soccer, Single use, Daily use pass, daily pass, pick-up soccer, Airport Park, Youth daily pass, youth pass","Airport Park Drop - In Soccer Program
 - Daily Use Pass
 - Non-Residents, Youth",1,,,,,,Non-Residents - Youth,"
The fees charged for field use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","Soccer, Drop-in soccer, Single use, Daily use pass, daily pass, pick-up soccer, Airport Park, Adult daily pass, adult pass","Airport Park Drop - In Soccer Program
 - Daily Use Pass
 - Non-Residents, Adult",5,,,,,,Non-Residents - Adult,"Adults (18 - 49 years old). The fees charged for field use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Quarterly Pass
 - Non-Residents, Youth",20,,,,,,"Non-Residents, Youth",Quarterly pass valid 91 days from date of purchase. A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","Soccer, Drop-in soccer, Single use, Daily use pass, daily pass, pick-up soccer, Airport Park, Adult daily pass, adult pass, senior pass, senior daily pass","Airport Park Drop - In Soccer Program
 - Daily Use Pass
 - Non-Residents, Seniors",2,,,,,,Non-Residents - Senior,"Seniors (50 and older). The fees charged for field use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Arts and Enrichment,,"Theater rentals, theatre rentals, rehearsal space, filming, Miles, Miles Playhouse","Miles Playhouse Fees
 - Children & Adults
 - Ages 14 and up",10,,,,,,,Fees will be charged for admission to in-house productions presented at Miles Playhouse.  For Collaborative/Partnership Programming – An admission fee will be assessed to cover a portion of administrative expenses and divided between the City and the collaborative/partnering agency based upon mutual agreement.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Arts and Enrichment,,"Theater rentals, theatre rentals, rehearsal space, filming, Miles, Miles Playhouse","Miles Playhouse Fees
 - Children under age 14",5,,,,,,,Fees will be charged for admission to in-house productions presented at Miles Playhouse.  For Collaborative/Partnership Programming – An admission fee will be assessed to cover a portion of administrative expenses and divided between the City and the collaborative/partnering agency based upon mutual agreement.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Fitness,"Adult Fitness Gym, Fitness, Workout, Memorial Park Fitness Room","Memorial Park Fitness Room Fees
 - 4 - Week Pass, Residents",24,,4 week pass - resident,,,,Residents,,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, One-Time Registration
 - Non-Residents, Youth",10,,,,,,Non-Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, One-Time Registration
 - Non-Residents, Adult",16.5,,,,,,Non-Residents - Adult,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Daily Pass
 - Residents, Youth",3,,,,,,Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, Daily Pass
 - Residents, Adult",5,,,,,,Residents - Adult,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Daily Pass
 - Non-Residents, Youth",5,,,,,,Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, Daily Pass
 - Non-Residents, Adult",5.5,,,,,,Non-Residents - Adult,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Quarterly Pass
 - Residents, Youth",20,,,,,,Residents - Youth,Quarterly pass valid 91 days from date of purchase. A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Gymnasium, Basketball/Volleyball, Indoor Sports","Facility Filming Rental - Motion, Memorial Park, Full Gymnasium",1788.93,,Daily,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"" target=""_blank"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, Quarterly Pass
 - Non-Residents, Adult",38.5,,,,,,"Non-Residents, Adult",Quarterly pass valid 91 days from date of purchase. A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Youth Annual Pass, Residents",80,,,,,,Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, Adult Annual Pass, Residents",140,,,,,,Residents - Adult,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Youth Annual Pass, Non-Residents",80,,,,,,Non-Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"" target=""_blank"">Community and Cultural Services fee notes</a>"
