Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Police,Animal Control Section,Animals,,Annual dog license - unspayed/unneutered,Annual dog license - unspayed/unneutered,74.52,,,,,,,Late charge of $80.00 will be applied.  Fee is per occurrence.,,
Police,Animal Control Section,Animals,,Annual dog license - duplicate (replacement),Annual dog license - duplicate (replacement),5.18,,,,,,,Fee is per occurrence.,,
Police,Animal Control Section,Animals,,Non resident permit tag - airport park,Non resident permit tag - airport park,19.15,,,,,,,Fee is per occurrence.,,
Police,Animal Control Section,Animals,,Impound - dog,Impound - dog,48.13,,,,,,,Fee is per occurrence.,,
Police,Animal Control Section,Animals,,Impound - cat,Impound - cat,18.11,,,,,,,Fee is per occurrence.,,
Police,Animal Control Section,Animals,,Owner surrender - dog licensed,Owner surrender - dog licensed,37.26,,,,,,,Fee is per occurrence.,,
Police,Animal Control Section,Animals,,Owner surrender - dog unlicensed/altered,Owner surrender - dog unlicensed/altered,74.52,,,,,,,Fee is per occurrence.,,
Police,Animal Control Section,Animals,,Owner surrender - dog unlicensed/unaltered,Owner surrender - dog unlicensed/unaltered,115.4,,,,,,,Fee is per occurrence.,,
Police,Animal Control Section,Animals,,Owner surrender - cat,Owner surrender - cat,37.26,,,,,,,Fee is per occurrence.,,
Police,Animal Control Section,Animals,,"Boarding - dog, cat, other","Boarding - dog, cat, other",11.39,,,,,,,Fee is per occurrence.,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"Gym Rental, Basketball, Volleyball, Half Court/Full Court, Gym Facility","Sports Facilities Rental - Memorial Park Gym - Half, Non-Resident, Private Schools/Non-Residents Public Schools",65,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Records and Election Services,Records and Election Services,Copy/Copies,,"board(s), commission(s), directory, board member, commissioner, commission member, contact list",Boards & Commission Directory Copy,6.42,,,,,,,,"A free and current copy is available at <a target=""_blank"" href=""http://www.smgov.net/departments/clerk/boards"">http://www.smgov.net/departments/clerk/boards</a>",
Records and Election Services,Records and Election Services,Copy/Copies,,"board(s), commission(s), handbook, board member, commissioner, commission member, guidebook, guide, manual",Boards & Commissions Handbook Copy,6.42,,,,,,,A handbook for board/commission members.,,
Records and Election Services,Records and Election Services,Copy/Copies,,"Charter of the City of Santa Monica, Santa Monica Charter, City Charter, Constitution, law, code",City Charter Copy,6.42,,,,,,,,"A free and current copy is available at <a target=""_blank"" href=""http://qcode.us/codes/santamonica"">http://qcode.us/codes/santamonica</a>",
Records and Election Services,Records and Election Services,Copy/Copies,,"copy/copies, compact disk, CD, disc, electronic copy/copies, copy/copies of record(s), copy/copies of document(s), copy/copies of file(s), copy/copies of report(s), audio recording(s) of public meetings",Compact Disk Copy,12.84,,,,,,,,,
Records and Election Services,Records and Election Services,Copy/Copies,,"copy/copies, City Council, meeting, agenda, packet, staff report(s), report(s), subscription",Council Meeting Packet Subscription,811.2,,,,,,,,"Free copies are available at <a target=""_blank"" href=""http://www.smgov.net/departments/clerk/agendas.aspx"">http://www.smgov.net/departments/clerk/agendas.aspx</a>",
Records and Election Services,Records and Election Services,Copy/Copies,,"copy/copies, document certification, certify/certified",Document Certification,18.19,,,,,,,Not including the Public Records Copy fee of $0.25 per page.,,
Records and Election Services,Records and Election Services,Domestic Partnership,,"Domestic Partner(s), Domestic Partnership, Affidavit of Domestic Partnership, Domestic Partnership Filing, file domestic partnership",Domestic Partner Amendment,8.56,,,,,,,,"Information and forms regarding domestic partnership are available at <a target=""_blank"" href=""http://www.smgov.net/Departments/Clerk/City_Forms___Fees.aspx"">http://www.smgov.net/Departments/Clerk/City_Forms___Fees.aspx</a>",
Records and Election Services,Records and Election Services,Domestic Partnership,,"Domestic Partner(s), Domestic Partnership, Registry, Amendment to Affidavit of Domestic Partnership, amendment, modification, change",Domestic Partner Filing - Affidavit,16.05,,,,,,,,"Information and forms regarding domestic partnership are available at <a target=""_blank"" href=""http://www.smgov.net/Departments/Clerk/City_Forms___Fees.aspx"">http://www.smgov.net/Departments/Clerk/City_Forms___Fees.aspx</a>",
Records and Election Services,Records and Election Services,Domestic Partnership,,"Domestic Partner(s), Domestic Partnership, Revocation of Domestic Partnership, cancel, void",Domestic Partner Notice of Revocation,8.56,,,,,,,,"Information and forms regarding domestic partnership are available at <a target=""_blank"" href=""http://www.smgov.net/Departments/Clerk/City_Forms___Fees.aspx"">http://www.smgov.net/Departments/Clerk/City_Forms___Fees.aspx</a>",
Records and Election Services,Records and Election Services,Passport(s),,"passport, passport book, passport card, passport renewal, proof of citizenship, citizenship, proof of identification, identification, proof of ID, ID",Passport Execution Fee (Plus federal pass-thru) ,25,,,,,,,"Not including fees payable to the Department of State or overnight postage fees payable to the City. CASH OR CREDIT CARD ONLY.

Services hours 9 AM - 2:30 PM by APPOINTMENTS ONLY, M-Th and alternate Fridays.
This fee is not subject to the annual administrative revision and increase per resolution.","Information regarding passport services is available at <a target=""_blank"" href=""http://www.smgov.net/passports"">http://www.smgov.net/passports</a>

",
Records and Election Services,Records and Election Services,Passport(s),,"passport, photo, photograph, picture, visa photo",Passports Photos ,12,,,,,,,"CASH OR CREDIT CARD ONLY.
This fee is not subject to the annual administrative revision and increase per resolution.",,
Records and Election Services,Records and Election Services,Copy/Copies,,"copy/copies, Public Records Act, Public Records, Freedom of Information Act, copy/copies of record(s), copy/copies of document(s), copy/copies of file(s), copy/copies of report(s), reproduction, facsimile",Public Records Act Copies (per page) ,0.25,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Records and Election Services,Records and Election Services,Copy/Copies,,"copy/copies, campaign disclosure statements, campaign report(s), campaign filing(s), campaign contributions, campaign expenditures, Form 460, public record",Campaign Disclosure Statements,0.1,,,,,,,This fee is mandated by the State Political Reform Act and is not subject to the annual administrative revision and increase.,"Free copies of Campaign Disclosure Statements are available at <a target=""_blank"" href=""http://smvote.org/Content.aspx?id=26353"">http://smvote.org/Content.aspx?id=26353</a>
",
Finance,Finance,Miscellaneous Fees,,"Checks, Returned Checks","Returned Check Processing Fee (First NSF), Miscellaneous",25,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Finance,Finance,Miscellaneous Fees,,"Checks, Returned Checks","Returned Check Processing Fee (Subsequent NSF), Miscellaneous",35,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Finance,Finance,Miscellaneous Fees,,"Checks, Returned Checks","Returned Check Processing Fee (License Fees), Miscellaneous",10,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Finance,Finance,Miscellaneous Fees,,"Permits, Permit, Vendor, Itinerant","Permit-itinerant vendor, Miscellaneous",104.88,,,,,,,,,
Finance,Finance,Miscellaneous Fees,,"Tobacco, Tobacco License, Tobacco License Permit","Tobacco Retailers License, Miscellaneous",272.9,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Fitness,"Adult Fitness Gym, Fitness, Workout, Memorial Park Fitness Room","Memorial Park Fitness Room Fees
 - Personal Training Permit, 1 - 2 Clients",5,,per 1/2 hour - personal training permit,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Finance,Finance,Miscellaneous Fees,,"Duplicate, Licenses",Duplicate Licenses,10,,,,,,,Fee set per Municipal Code 6.04.040,,
Planning and Community Development,Building and Safety,Permits,,"Temporary, Temp, Certificate, Occupancy, TCO",Temporary Certificate of Occupancy,479.46,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Memorial Park","Facility Filming Rental - Motion, Memorial Park, Craft Room",361,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
City Manager,Office of Sustainability and the Environment,Inspections,,"Apartment, Apt., Building, Check, Commercial, Condo, Condominium, Design, Drought, Family, Final, Grass, Guidelines, Inspections, Irrigation, Landscape, Mitigation, Multi, Multi-family, Plan, Properties, Property, Residential, Runoff, Single, Single-Family, Sprinkler, Storm, Stormwater, System, Turf, Urban, Water, Water Efficiency",Landscape & Irrigation Onsite Inspection Fees (includes all inspections): For Residential & Multi-family Property,444.93,,,,,,,,,
City Manager,Office of Sustainability and the Environment,Inspections,,"Apartment, Apt., Building, Check, Commercial, Condo, Condominium, Design, Drought, Family, Final, Grass, Guidelines, Inspections, Irrigation, Landscape, Mitigation, Multi, Multi-family, Plan, Properties, Property, Residential, Runoff, Single, Single-Family, Sprinkler, Storm, Stormwater, System, Turf, Urban, Water, Water Efficiency",Landscape & Irrigation Onsite Inspection Fees (includes all inspections): For Commercial Property,508.49,,,,,,,,,
City Manager,Office of Sustainability and the Environment,Inspections,,"Apartment, Apt., Building, Check, Commercial, Condo, Condominium, Design, Drought, Family, Final, Grass, Guidelines, Inspections, Irrigation, Landscape, Mitigation, Multi, Multi-family, Plan, Properties, Property, Residential, Runoff, Single, Single-Family, Sprinkler, Storm, Stormwater, System, Turf, Urban, Water, Water Efficiency","Urban Runoff Mitigation Onsite Inspection Fees: Per Property, includes 2 inspections",202.19,,,,,,,,,
City Manager,Office of Sustainability and the Environment,Inspections,,"Apartment, Apt., Building, Check, Commercial, Condo, Condominium, Design, Drought, Family, Final, Grass, Guidelines, Inspections, Irrigation, Landscape, Mitigation, Multi, Multi-family, Plan, Properties, Property, Residential, Runoff, Single, Single-Family, Sprinkler, Storm, Stormwater, System, Turf, Urban, Water, Water Efficiency",Urban Runoff Mitigation Onsite Inspection Fees: For each additional inspection,67.4,,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Fees,,"Pedicab Company, Pedicab Operator, Permit, New & Renewal",Pedicab Vehicle - New & Renewal Operators Permit Fee,208.69,,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Fees,,"Pedicab Company, Pedicab Operator, Vehicle, Permit",Pedicab Vehicle Decal Permit Fee: New pedicab vehicle permit fee,119.86,,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Fees,,"Pedicab Company, Pedicab Operator, Vehicle, Permit, Transfer",Pedicab Vehicle Decal Permit Fee: Transfer pedicab vehicle permit fee,119.86,,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Fees,,"Pedicab Company, Pedicab Operator, Vehicle, Permit, Renewal",Pedicab Vehicle Decal Permit Fee: Renewal pedicab vehicle permit fee,54.58,,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Fees,,"Pedicab Company, Pedicab Operator, Vehicle, Permit, Replacement",Pedicab Vehicle Decal Permit Fee: Replacement pedicab vehicle permit fee,38.53,,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Fees,,"Pedicab Company, Pedicab Operator, Vehicle, Permit, Reinspection",Pedicab Vehicle Decal Permit Fee: Pedicab vehicle re-inspection fee,29.97,,,,,,,,,
Library,Library,Library fines and fees,,ILL,"Interlibrary Loan Request (plus Lending Library Charges, if any)",5,,,,,,,,,
Library,Library,Library fines and fees,,card replacement; lost card; lost library cards; replacement card,Replacement of  Second  & Subsequent Lost Adult Library Card,2,,,,,,,,,
Library,Library,Library fines and fees,,"kids library card; kids replacement card; youth library card; youth replacement card, lost card, lost library card, card replacement, replacement card",Replacement of Second & Subsequent Lost Children's Library Card,1,,,,,,,,,
Library,Library,Library fines and fees,,"photocopies; Xerox; black and white print, copy, copies, printing, print",Black & White Copy or Print,0.15,,,,,,,,,
Library,Library,Library fines and fees,,"color photocopies; color prints, copy, copies, printing, print, color copy, color copies, Xerox",Color Copy or Print,0.5,,,,,,,,,
Library,Library,Library fines and fees,,"Non-resident library card for students; non-resident fee, library card for students, Bulk purchase student non-resident library card
","Bulk Purchase Student Non-Resident Library Cards, Annual",20,,,,,,,,,
Library,Library,Library fines and fees,,"Non-resident library card; non-resident fee, library card","Library card for non-residents, Annual   ",25,,,,,,,,,
Library,Library,Library fines and fees,,"public computer session; computer session; extra computer time; extra internet time, computer, computers, internet",Internet session for those without Library cards,2,,,,,,,,,
Library,Library,Library fines and fees,,"Historic photo reprints; photo reprints; photo digital files; historic reprint digital files; Photographs, photo print, photo prints",Image Archives High Resolution Files & Reprints: High Resolution File on disk from Image Archives,20,,,,,,,,,
Library,Library,Library fines and fees,,"Shipping for Image Archives orders, postage",Image Archives High Resolution Files & Reprints: Mailer & Postage,3,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Non-Profit, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Filming, Still Photography","Facility Filming Rental - Non-Profit/Student Motion/Still, Ken Edwards, 100A & 100B",77.55,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Planning, Application, Applications","Miscellaneous Plan Check Fees, Planning Applications - with or without preliminary review",227.05,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Reservation, Court Rental, Filming, Basketball Court, Marine Park, Reed Park","Facility Filming Rental - Motion, Various Parks, Basketball Court",361,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Library,Library,Room Rentals,,security fee for MLK auditorium; auditorium security staffing fee; after-hours security at MLK Auditorium; MLK auditorium security staffing fee,"Meeting Room Reservations: After Hours Security Staffing Fee: Main Library, 601 Santa Monica Blvd",50,,per hour,,,,,"Security staffing fee per hour or portion thereof for use of Martin Luther King, Jr. Auditorium outside operating hours.","Meeting Room Reservation Page:   <a target=""_blank"" href=""http://smpl.org/Meeting_Rooms.aspx"">http://smpl.org/Meeting_Rooms.aspx</a>",
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Residents, Community Mtg. Rm, Memorial Park, Small  (30 - 50)",26,,,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Cultural Affairs,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House, Pool Day Pass - Child (under 18 years of age)",4,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a target=""_blank"" href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a target=""_blank"" href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"senior workout, aqua aerobics, aerobics, adult swim class, swim conditioning, water exercise, fitness","Community Aquatics
 - Fitness Classes: Shallow or Deep Water Wet Workout/Aqua Aerobics and Fitness Classes
 - Senior/Student 
 - Non-Residents",5.5,,,,,,Non-Residents-Senior/Student,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"basketball, volleyball, open gym","Community Activities
 - Gym User Fee
 - Residents: Daily Use Pass, Seniors",1.5,,,,,,Residents-Seniors,"Seniors (50 and older)
The fees charged for gym use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Skate Board, BMX, Cove Skate Park","Facility Filming Rental - Motion, Memorial Park, The Cove, SM Skatepark",1654,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, VAP, Virginia Avenue Park","Facility Filming Rental - Still, Virginia Avenue Park, Meeting Rm",206,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Outdoor dining areas on the public sidewalk of less than 250 sq. ft.,Zoning Conformance Review: Minor Outdoor Dining Permit,947,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Refunds, Inspection, Construction, Started",Refunds: Inspection Fees: Construction Work Started-Based on Percentage of Incomplete Construction Applications Taken in Error,,% of fees,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Appeal of a decision on a planning permit application,Appeals,458.66,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Court Rental,  Basketball courts, basketball court rental, Marine Park, Reed Park","Sports Facilities Rental - Outdoor Basketball Court, Residents, Community Groups/Individuals",11.25,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Record, Maintenance, Plan, Documents",Record Fees: Maintenance of Permit and Plan Documents,,13% of permit,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Interior Demolition, Interior Demo","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Interior Demolition: 0 - 10,000 square feet",496.18,,,0.8889,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, One, Two, Family, Dwelling, SFD","Combination Building Permits, One and Two Family Dwellings - (3,500 sf)",128.07,,,1.3106,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Library,Library,Room Rentals,,"Annex Pico Library security fee; security staffing fee for Annex, Pico Library; after-hours security for Annex, Pico Library","Meeting Room Reservations: After hours Security Staffing Fee - Pico Branch Annex, 2201 Pico Blvd",25,,per hour,,,,,Security staffing fee per hour or portion thereof for use of branch meeting room outside operating hours.,"Meeting Room Reservation Page:   <a target=""_blank"" href=""http://smpl.org/Meeting_Rooms.aspx"">http://smpl.org/Meeting_Rooms.aspx</a>",
Library,Library,Library fines and fees,,"Late adult book; Late adult CD; Late adult audio book; Magazine; Late adult magazine; late fees, overdue","Overdue Adult Book, CD, Audio Book, Periodical  ",0.25,,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,"Late kids book; Late youth book; Late children's CD; Late kids' CD; Late youth CD; Late children's audio book; Late kids audio book; Late youth audio book;  Late children's magazine; Late youth magazine; Late kids magazine, overdue","Overdue Children's Book, CD, Audio Book, Periodical ",0.15,,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,"Late new book, overdue",Overdue New Adult Book ,0.5,,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,"Late DVD, Adult; Late DVD Children's; Late DVD kids; Late DVD youth, overdue",Overdue Adult or Children's DVD,1,,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,"Late interlibrary loans, overdue",Overdue Interlibrary Loan Material,1,,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,Damaged item replacement ; Lost item replacement ,Replacement of Damaged or Lost Item,,Cost of item,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,"Damaged, lost or replacement, item processing fee","Processing of Damaged, lost or replacement  Item",7.5,,per item plus cost of item or identical replacement,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,Collection Agency Referral Fee,Collection Agency Referral Fee,10,,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,"Maximum overdue fine for adult materials; overdue maximum fine for adult materials, maximum late fine",Maximum Late Fine for Adult Materials,10,,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Library,Library,Library fines and fees,,Maximum overdue fine for children's  materials; overdue maximum fine for children's materials; Maximum overdue fine for youth materials; Overdue maximum fine for youth materials; Maximum overdue fine for kids materials; Overdue maximum fine for kids materials; maximum late fine,Maximum Late Fine for Children's Materials,5,,,,,,,"Fines to be assessed per item, per day, holidays included.",,
Fire,Fire,New Construction ,,"plan, check, new, standard","Standard/Complex Plan Check-new building:  1st 2,500 sf",552.22,,,,,,,,,
Fire,Fire,New Construction ,,"commercial, improvement, tenant","Commercial Tenant Improvement:1st 2,500 sf",276.11,,,,,,,,,
Fire,Fire,New Construction ,,"plan, review",Miscellaneous plan review,414.16,,,,,,,,,
Fire,Fire,New Construction ,,"solar panel, review",Solar panel plan review,214.04,,,,,,,,,
Fire,Fire,New Construction ,,"final, inspection",Final building inspection,467.67,,,,,,,,,
Fire,Fire,New Construction ,,"fire, sprinkler, NFPA 13",Fire Sprinkler - NFPA 13 Sys: 1-10 Heads,467.67,,,,,,,,,
Fire,Fire,New Construction ,,"fire, sprinkler, NFPA 13",Fire Sprinkler - NFPA 13 Sys: 10+ Heads,467.32,,,4.28,per head,,,,,
Fire,Fire,New Construction ,,"fire, sprinkler, NFPA 13D",Fire Sprinkler - NFPA 13D Sys: up to 10k sq ft,531.88,,,,,,,,,
Fire,Fire,New Construction ,,"fire, sprinkler, NFPA 13D",Fire Sprinkler - NFPA 13D Sys: >10k sq ft,659.24,,,,,,,,,
Fire,Fire,New Construction ,,Private Hydrant,Fire Sprinklers Residential - private hydrant systems,467.67,,,,,,,,,
Fire,Fire,New Construction ,,Fire Pump,Fire Sprinklers Residential - fire pump installation,1620.27,,,,,,,,,
Fire,Fire,Events/Special,,"studio, theatre, stage, pyrotechnic, SFX",Studio & theater occupancies - pyrotechnic SFX app sound stage,916.08,,,,,,,,,
Planning and Community Development,City Planning/Development Review,Historic Reviews,,Modifications to landmarked buildings,Certificate of Appropriateness,,Waived,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Fire,Fire,New Construction ,,"alarms, fire, system, new","Fire Alarms, new system, 1st 24 Devices",1024.17,,,,,,,,,
Fire,Fire,New Construction ,,"alarms, fire, system, new","Fire Alarms, new system, each additional device over 24 devices",8.56,,,,,,,,,
Fire,Fire,New Construction ,,"fire, alarms, TI","Fire alarms, TI's, 1st 24 devices",595.03,,,,,,,,,
Fire,Fire,New Construction ,,"fire, alarms, TI","Fire alarms, TI's, each additional device over 24 devices",6.42,,,,,,,,,
Fire,Fire,New Construction ,,"lab, medical, gas",Medical Lab: Gas systems (type 1),916.08,,,,,,,,,
Fire,Fire,New Construction ,,"lab, medical, gas",Medical Lab: Gas systems (type 2&3),1468.3,,,,,,,,,
Fire,Fire,New Construction ,,"extinguishing system, clean agent",Special Fire Extinguisher Systems - clean agent,851.87,,,,,,,,,
Fire,Fire,New Construction ,,"extinguishing system, kitchen hoods",Special Fire Extinguisher Systems - (eg kitchen hoods),595.03,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, above, ground, install",Storage tank above ground - install,985.64,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, above, ground, removal",Storage tank above ground - removal,778.03,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, above, ground, modify",Storage tank above ground - modify,571.48,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, install",Storage tank underground install - base fee,2385.45,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, install",Storage tank underground install - each additional tank,522.25,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, install",Storage tank underground install - each  additional plan check or inspection ,261.13,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, removal",Storage tank underground removal - base fee ,1993.76,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, removal",Storage tank underground removal - each additional tank,391.69,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, removal",Storage tank underground removal - each additional plan check or inspection,261.13,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, modify",Storage tank underground modify - simple,410.95,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, modify",Storage tank underground modify - complex,1587.09,,,,,,,,,
Fire,Fire,New Construction ,,"storage, tank, underground, clean",Storage tank underground - clean up (minimum 8 hours),130.56,,,,,,,,,
Fire,Fire,New Construction ,,"reinspection, senior, inspector","Reinspection, Senior Fire Inspector",275.04,,,,,,,,,
Fire,Fire,New Construction ,,"reinspection, environmental, compliance","Reinspection, Environmental Compliance Specialist",149.83,,,,,,,,,
Fire,Fire,New Construction ,,"site, inspection, floor, additional","Miscellaneous - additional site inspection per additional floor, suite or area",275.04,,,,,,,,,
Fire,Fire,New Construction ,,"alternate means/methods, applications",Miscellaneous - alternate methods applications,1123.7,,,,,,,,,
Fire,Fire,New Construction ,,"off-hour, inspection, expedited, plan, review",Miscellaneous - off-hour inspection /expedited plan review,759.83,,,,,,,,,
Fire,Fire,Events/Special,,"tents, canopies",Tents & Canopies 401-2000 sq ft,188.35,,,,,,,,,
Fire,Fire,Events/Special,,"tents, canopies","Tents & Canopies 2,001-5,000 sq ft",272.9,,,,,,,,,
Fire,Fire,Events/Special,,"permit, candles, flame, special",Annual Permit - candles open flame - special event,56.72,,,,,,,,,
Fire,Fire,Events/Special,,"permit, carnivals, fairs",Annual Permit - carnivals or fairs,275.04,,,,,,,,,
Fire,Fire,Events/Special,,"permit, Christmas, tree",Annual Permit - Christmas tree lots,275.04,,,,,,,,,
Fire,Fire,Events/Special,,"permit, LPG, special, event",Annual Permit - LPG special event,188.35,,,,,,,,,
Fire,Fire,Events/Special,,"inspection, other, special, event",Other inspections - special events,275.04,,,,,,,,,
Fire,Fire,Events/Special,,"fire, officer, FSO, vehicle, fee",Fire Safety Officer Assignment vehicle fee,56.44,,,,,,,,,
Fire,Fire,Events/Special,,"special, event, inspection, review",Miscellaneous - special event inspection or  special event review,275.04,,,,,,,,,
