Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, Interior, Demolition, Demo","Combination Building Permits, Interior Demolition Additional Square Feet over 10,000",0.07,,per square footage,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, Interior, Demolition, Demo","Combination Building Permits, Interior Demolition 4 Stories or More",,Additional 5%,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Single, Trade, STP, Residential","Single Trade Permits, Residential - (50% Subsidy Included) 3 inspections max",213.41,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Single, Trade, STP, Additional","Single Trade Permits, Additional Inspections for Single Trade Permits-each",81.85,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Single, Trade, STP, Other, Commercial, Demolition, Demo","Single Trade Permits, All others (Commercial, Demolition, etc.) - Businesses are not subsidized",435.34,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Single, Trade, STP, Additional","Single Trade Permits, Additional Inspections - for Single Trade Permits - each",165.54,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"After, Hours, Review, Application","After Hours Permits, Review of After Hours Permit Application",417.02,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"After, Hours, Inspection, Inspections","After Hours Permits, After Hour Inspections - per hour (2 hour minimum)",295.20,,Per Hour,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc, Inspection, Inspections, Other","Miscellaneous Inspections, Inspections Not Otherwise Classified - each hour or fraction thereof",338.12,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc, Reinspection, Combination, Combo, Building","Miscellaneous Inspections, Reinspection Fee: Combination Building Permit",278.99,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc,","Miscellaneous Inspections, Reinspection Fee: Single Trade Permit - Residential (50% subsidy included)",35.91,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc,","Miscellaneous Inspections, Reinspection Fee: Single Trade Permit - All Others",165.54,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc,","Miscellaneous Inspections, Reinspection Fee: Minimum Inspection Fee - all permits except Single Trade",629.80,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Miscellaneous Fees,,,Address Assignment Fee,376.16,,,,,,,,,
Planning and Community Development,Building and Safety,Permits,,"Temporary, Temp, Certificate, Occupancy, TCO",Temporary Certificate of Occupancy,628.01,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Change, Record, Update",Change of Record on Permit: Single Trade Permit - Council Subsidized (Residential only),22.25,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Change, Record, Update",Change of Record on Permit:  All Other Permit Types,47.89,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Seismic, Retrofit, Geologic, Geotechnical",Engineering Report Review: Seismic Retrofit Report Review,132.54,,,$267.97,per hour,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,,Engineering Report Review: Seismic Retrofit Plan Check,132.54,,,$226.44,per hour,,,,,
Planning and Community Development,Building and Safety,Plan Checks,,,Engineering Report Review: Seismic Retrofit Permit,38.26,,,$   226.29,per hour,,,,,
Planning and Community Development,Building and Safety,Plan Checks,,,Seismic Retrofit Peer Review,279.22,,per hour,,,,,,,
Planning and Community Development,Building and Safety,Plan Checks,,,Engineering Report Review: Seismic Retrofit Plan Check - Consultant,,Actual Costs/Per Hour,,,,,,Seismic Retrofit Plan Check and Seismic Retrofit Peer Review Fees for consulting services will apply for non-soft story projects and or other projects based upon objective criteria on file with the Building and Safety Division.,,
Planning and Community Development,Building and Safety,Plan Checks,,,Engineering Report Review: Seismic Retrofit Peer Review - Consultant,,Actual Costs/Per Hour,,,,,,Seismic Retrofit Plan Check and Seismic Retrofit Peer Review Fees for consulting services will apply for non-soft story projects and or other projects based upon objective criteria on file with the Building and Safety Division.,,
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Alternate, Methods, Construction, Premanufactured, Prefab, Fabricated","Engineering Report Review: Alternate Methods of Construction, Premanufactured Products",1392.67,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Alternate, Methods, Construction, Field, Constructed","Engineering Report Review: Alternate Methods of Construction, Field Constructed",2743.36,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Alternate, Methods, Construction, Energy, Compliance, Comply, Title 24","Engineering Report Review: Alternate Methods of Construction, Energy Compliance - Title 24, Part 6 C.E.C.",466.59,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Geotechnical, Soils","Engineering Report Review: Geotechnical Reports, Addendum to Original Soils Report",1273.70,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Geotechnical, Compaction","Engineering Report Review: Geotechnical Reports, As Built Compaction Reports",1926.48,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Geotechnical, Fault, Trench","Engineering Report Review: Geotechnical Reports, Fault Trench",5756.32,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Geotechnical, Building/Shoring, Building, Shoring","Engineering Report Review: Geotechnical Reports, Building/Shoring Plan Review",1345.68,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Geotechnical, Commercial, Mixed Use, Apartments, Apts","Engineering Report Review: Geotechnical Reports, Commercial/Mixed Use/ Apts (over 4 stories including subterranean garage)",3578.17,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Standard",Engineering Report Review: Standard Reviews and All Others not listed above,2752.64,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Sound, Attenuation",Engineering Report Review: Sound Attenuation,472.45,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Green, Building, Code, Title 24, Part 11","Engineering Report Review: Green Building Code Compliance -Title 24, Part 11",,10% of building plan check fee,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Extension, Extend, Time, Start, Construction",Extension Fees: To Start Construction,471.02,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Extension, Extend, Time, Resume, Complete, Construction",Extension Fees: Resume or Complete Construction,535.85,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Extension, Extend, Time, Start, Construction, Single, Trade, STP",Extension Fees: To Start Construction - Single Trade Residential,207.76,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Extension, Extend, Time, Resume, Complete, Construction, Single, Trade, STP",Extension Fees: Extension of Time To Resume or Complete Construction - Single Trade Residential,225.38,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"License, Special, Inspector, Deputy",License Fees: Special Inspector License - Qualification Review,467.80,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"License, Fabricator",License Fees: Fabricator License - Qualification Review,467.80,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Review, Appeal, Building, Safety",Miscellaneous Reviews: Building and Safety Appeal,2758.20,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Review, Accessibility, Hardship, Exemption, Waiver",Miscellaneous Reviews: Accessibility Hardship  Exemption,428.78,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Review, Approval, Test, Lab",Miscellaneous Reviews: Review and Approval of Testing Lab,670.11,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Review, Modification, Technical, Code, No Administrative, Hearing, Admin, Staff, Approval",Modification of Technical Code: No Administrative hearing - Staff Approval - each main code issue,1438.85,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Review, Modification, Technical, Code, Administrative, Hearing, Admin, Building, Officer, Official",Modification of Technical Code: Administrative hearing - Building Officer - project basis,2619.78,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Record, Residential, Building, Report, RBR",Record Fees: Residential Building Record,344.31,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Record, Approved, Plans, Bonded, Permits",Record Fees: Approved Plans and Permits (Bonded Copies),,actual cost,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Record, Application, Processing",Record Fees: Application Processing,164.71,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Record, Maintenance, Plan, Documents",Record Fees: Maintenance of Permit and Plan Documents,,13% of permit,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Renewal, Renew, Expired, Plan Check, Formal, Extension",Renewal Fees: Expired Plan Check - Formal - Plan Check Extension and Renewal Application Processing Only,489.53,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Renewal, Renew, Expired, Plan Check, Formal, Other",Renewal Fees: Expired Plan Check - Formal - Any Others,1479.09,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Renewal, Renew, Expired, Plan Check, Formal, Excessive",Renewal Fees: Expired Plan Check - Formal -  Additional Plan Check (Per Hour),338.92,,Per Hour,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Renewal, No, Inspection",Permit Renewals: No Inspection,,100% of permit,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Renewal, Rough, Inspection",Permit Renewals: Rough Inspection,,50% of permit,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Renewal, Final, Inspection",Permit Renewals: Final Inspection,,20% of permit,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Replacement, Card, Single, Trade",Replacement Card: Replacement I Single Trade (Council Subsidized),23.93,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Replacement, Other",Replacement Card: Replacement I All Others,23.93,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Mobile, Home, Parks, Trailer",Mobile Home Parks,,"All fees per Title 25, CCR",,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Investigation, Work, Without, Permit",Investigation Fee For Work Without a Permit,,actual cost,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Refunds, Issuance, Issued",Refunds: Issuance Fees,,no refunds,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Plan, Check, Preliminary, Prelim, Review",Refunds: Plan Check Preliminary Plan Review,,no refunds,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Plan, Check, Over the Counter, Over, Counter, OTC, Review",Refunds: Plan Check Over the Counter Plan Review,,no refunds,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Formal, Plan, Check, First, Review, Not, Started",Refunds: Formal Plan Check: First Review Not Started (within 3 Work Days of Submittal),,80% of fees,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Formal, Plan, Check, First, Review, Started, Completion",Refunds: Formal Plan Check: First Review Started/Up to Completion of First Review,,50% of fees,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Formal, Plan, Check, Second, Review, Started, Completion",Refunds: Formal Plan Check: Second Review Started/Up to Completion of Second Review,,no refunds,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Engineering, Reports, First, Review, Not, Started",Refunds: Engineering Reports: First Review Not Started (within 3 Work Days of Submittal),,80% of fees,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Refunds, Engineering, Reports, First, Review, Started, Completion",Refunds: Engineering Reports: First Review Started/Up to Completion of First Review,,50% of fees,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Second, Review, Completion, Started",Refunds: Engineering Reports: Second Review Started/Up to Completion of Second Review,,no refunds,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Refunds, Inspection, Construction, Not, Yet, Started",Refunds: Inspection Fees: Construction Work Not Yet Started,,80% of fees,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Refunds, Inspection, Construction, Started",Refunds: Inspection Fees: Construction Work Started-Based on Percentage of Incomplete Construction Applications Taken in Error,,% of fees,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,Subsidies,Subsidies: Single Trade Permits - Residential Only,,50% of fees,,,,,Residential,Total fees shall be reduced 50% to encourage citizens to obtain permits for simple work that benefits from safety inspections.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee, rec swim, lap swim",Community Aquatics - Recreational and Fitness Swim - Daily Use - Residents -  Adult,3.50,,per day,,,,Residents - Adults,Adults (18 years – 59 years).,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee, rec swim, lap swim",Community Aquatics - Recreational and Fitness Swim - Daily Use - Residents - Senior/Student,1.75,,per day,,,,Residents - Senior/Student,"Others: Seniors (60 years and over); Students (18 years or older attending high school, college or trade school full - time with I.D.)",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee, baby swim, kid swim",Community Aquatics - Recreational and Fitness Swim - Daily Use - Residents - Youth,1.50,,per day,,,,Residents-Youth,Youth (17 years and under),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee, baby swim, kid swim",Community Aquatics - Recreational and Fitness Swim - Daily Use - Non-Residents - Youth,3.00,,per day,,,,Non-Residents-Youth,Youth (17 years and under),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee",Community Aquatics - Recreational and Fitness Swim - Daily Use - Non-Residents - Adult,7.00,,per day,,,,Non-Residents-Adult,Adults (18 years – 59 years),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee","Community Aquatics
 - Recreational and Fitness Swim
 - Daily Use
 - Non-Residents - Senior/Student",3.50,,per day,,,,Non-Residents-Senior/Student,"Others: Seniors (60 years and over); Students (18 years or older attending high school, college or trade school full - time with I.D.)",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, family swim","Community Aquatics
 - Recreational and Fitness Swim
 - Family Use
 - Residents Family",8.00,,per day,,,,Residents-Family,"Family (up to 2 adults and 2 children, additional children admitted at swim center rate) Available Friday night, Saturday and Sunday.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, family swim","Community Aquatics
 - Recreational and Fitness Swim
 - Family Use
 - Non-Residents Family",16.00,,per day,,,,Non-Residents-Family,"Family (up to 2 adults and 2 children, additional children admitted at swim center rate) Available Friday night, Saturday and Sunday.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, monthly pass,","Community Aquatics
 - Recreational and Fitness
 - Swim Pass
 - Residents - Youth",20.00,,20 swims per pass,,,,Residents-Youth,Youth (17 years and under),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, monthly pass","Community Aquatics
 - Recreational and Fitness
 - Swim Pass
 - Residents - Adult",55.00,,20 swims per pass,,,,Residents-Adults,Adults (18 years – 59 years),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, monthly pass","Community Aquatics
 - Recreational and Fitness
 - Swim Pass
 - Residents - Senior/Student",30.00,,20 swims per pass,,,,Residents-Senior/Student,"Others: Seniors (60 years and over); Students (18 years or older attending high school, college or trade school full - time with I.D.)",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, monthly pass",Community Aquatics - Recreational and Fitness - Swim Pass - Non-Residents - Youth,40.00,,20 swims per pass,,,,Non-Residents-Youth,Youth (17 years and under),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, monthly pass","Community Aquatics
 - Recreational and Fitness
 - Swim Pass
 - Non-Residents - Adult",110.00,,20 swims per pass,,,,Non-Resident-Adult,Adults (18 years – 59 years),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, monthly pass","Community Aquatics
 - Recreational and Fitness
 - Swim Pass
 - Non-Residents - Senior/Student",60.00,,20 swims per pass,,,,Non-Residents-Senior/Student,"Others: Seniors (60 years and over); Students (18 years or older attending high school, college or trade school full - time with I.D.)",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"Swim Center, water sports, polo, synchro, diving,  h20polo, youth sports","Community Aquatics -  Adult and Youth Group Swim Lessons, Diving, Water Polo & Synchronized Swim
 - Residents",12.00,,per hour,,,,Residents-Adult and Youth Group,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim lessons,"Swim Center, water sports, polo, synchro, diving,  h20polo, youth sports","Community Aquatics
 -  Adult and Youth Group Swim Lessons, Diving, Water Polo & Synchronized Swim
 - Non-Residents",24.00,,per hour,,,,Non-Residents-Adult and Youth Group,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim lessons,"swim lessons, swim classes, swim instruction, adult/youth swim lessons","Community Aquatics
 - Youth Semi - Private Swim Lessons
 - Residents",42.00,,per hour,,,,Residents-Youth,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
