Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee - Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Residents, Community Mtg. Rm, 1450 Ocean, Small  (18 - 55)",26.00,,Hourly,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Joslyn Park, Large Room","Park Building Rental - Residents, Community Mtg. Rm, Joslyn Park, Large (60 - 120)",52.00,,Hourly,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Residents, Community Mtg. Rm, Marine Large (88 - 120)",52.00,,Hourly,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Residents, Community Mtg. Rm, 1450 Ocean, Large (90 - 130)",52.00,,Hourly,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Residents, Community Mtg. Rm, Reed Park, Large (90 - 130)",52.00,,Hourly,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Small Room","Park Building Rental - Residents, Community Mtg. Rm, Virginia Avenue Park, Large (90 - 130)",52.00,,Hourly,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Non-Profit, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Non-Residents, Community Mtg. Rm, Douglas Park, Small  (30 - 50)",37.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Euclid Park, East Room, West Room, Small Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Euclid Park, Small  (18 - 23)",37.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Joslyn Park, Craft Room, Small Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Joslyn Park, Small  (40 - 60)",37.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Memorial Park, Craft Room, Small Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Memorial Park, Small  (40 - 50)",37.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Small Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Reed Park, Small  (30 - 40)",37.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Senior Center, Meeting, Palisades Park","Park Building Rental - Non-Residents, Community Mtg. Rm, 1450 Ocean, Small  (18 - 55)",37.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Virginia Avenue Park, VAP,  Meeting","Park Building Rental - Non-Residents, Community Mtg. Rm, Virginia Avenue Park, Small(18 - 55)",37.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Non-Residents, Community Mtg. Rm, Joslyn Park, Large (60 - 120)",74.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Marine Park, Large Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Marine Park, Large (88 - 120)",74.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Large Room","Park Building Rental - Non-Residents, Community Mtg. Rm, 1450 Ocean, Large (90 - 130)",74.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Large Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Reed Park, Large (90 - 130)",74.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Large Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Virginia Avenue Park, Large (90 - 130)",74.00,,Hourly,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Douglas Park, Clubhouse, Small Room, Non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Douglas Park, Small  (30 - 50)",13.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Euclid Park, East Room, West Room, Small Room, Non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Euclid Park, Small  (18 - 23)",13.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Joslyn Park, Craft Room, Small Room, Non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Joslyn Park, Small  (40 - 60)",13.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Memorial Park, Craft Room, Non-Profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Memorial Park, Small  (30 - 40)",13.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Non-Profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Reed Park, Small  (30 - 40)",13.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Virginia Avenue Park, VAP,  Meeting, non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Virginia Avenue Park, Small(18 - 55)",13.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Senior Center, Meeting, Palisades Park, non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, 1450 Ocean, Small  (18 - 55)",13.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Joslyn Park, Non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Joslyn Park, Large (60 - 120)",26.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Marine Park, Non-Profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Marine Park, Large (88 - 120)",26.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Senior Center, Meeting, Palisades Park, non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, 1450 Ocean, Large (90 - 130)",26.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room,  Reek Park, VAP,  Meeting, non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Reed Park, Large (90 - 130)",26.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Rentals and Reservations,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room,  Virginia Avenue Park, VAP,  Meeting, non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Virginia Avenue Park, Large (90 - 130)",26.00,,Hourly,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"New commercial square footage of greater than 1,000 sq. ft. but less than 7,500 sq. ft.",Administrative Approval: Non-Downtown,"5,477.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Miscellaneous Fees,,,"Downtown Administrative Approval: Non-residential Projects up to 10,000 sf","5,477.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Miscellaneous Fees,,,"Downtown Administrative Approval: Housing Project up to 75,000 sf","10,953.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Change of ownership of an alcohol outlet,Zoning Conformance Review: Alcohol Determination,932.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Alcohol service at a restaurant with 50 or fewer seats with specified conditions,Alcohol Exemption,932.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Appeal of a decision on a planning permit application,Appeal - Planning Permit and Noise Variance,496.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Design Reviews,,"Board review of building design, colors and materials",Architectural Review Board - Bldg. Color/Materials:  New Construction,"4,195.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Design Reviews,,,Architectural Review Board - Bldg. Color/Materials: Alt/Mod's,"1,398.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Design Reviews,,"Board review of signs, sign programs and landscaping",Architectural Review Board- Sign Adjustment,"1,923.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Design Reviews,,Approval by staff as authorized by Resolution,Architectural Review Board Staff Approval  - All Others,408.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Design Reviews,,Approval by Staff of projects subject to Single trade permits,Architectural Review Board (Staff approval  - Single Trade  excluding signs & windows),,Waived,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Design Reviews,,,Architectural Review Board - Signs/Landscaping,"1,634.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Historic Reviews,,Modifications to landmarked buildings,Certificate of Appropriateness,,Waived,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Miscellaneous Fees,,,Certificate of Administrative Approval,,Waived,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Review of a project for compliance with City standards,Certificate of Compliance,"2,097.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Historic Reviews,,Response to a Landmarks Commission approval of a Certificate of Appropriateness,Certificate of Economic Hardship,"10,604.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Entitlement for a use that has the potential for adverse impacts on the immediate area,Conditional Use Permit - Alcohol,"8,157.00",,,,,,,,,
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Entitlement for a use that has the potential for adverse impacts on the immediate area,Conditional Use Permit - All Others,"16,546.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Applications,,Review of an application for demolition of a structure,Demolition Permits,827.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Negotiated agreement with the City for a development,"Development Agreement (per hour-charged against an initial deposit of $50,000)",233.00,,Per hour,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"New commercial square footage of 7,500 sq. ft. or more in commercial districts; 15,000 sq. ft. to 25,000 sq. ft. in multi-family residential districts",Development Review Permit,"23,072.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"Modification to fence, wall, hedge height up to 4' above height limit","Fence, Wall, Hedge Height mod. (Administrative)",297.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"Modification to fence, wall, hedge height above 4' above height limit or adjacent neighbor objects to administrative process","Fence, Wall Hedge Height mod. (Discretionary)",288.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Final subdivision map for condominium purposes,Final Map,"1,631.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Modification,,Modification to any element of the City's General Plan,General Plan Amendment,"15,847.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Historic Reviews,,Designation of a group of buildings as a City landmark district,Historic District Designation,"1,186.00",,,,,,,Fee is not subject to the City's annual administrative revision and increase.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Historic Reviews,,Designation of a building as a City landmark,Landmark Designation,816.00,,,,,,,"Fee is not subject to the City's annual administrative revision and increase.
Fees for Landmark Designation and Structure of Merit shall be waived for Landmarks Commissioners and nonprofit organizations with documented tax-exempt status.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Modification,,A modification to a parcel line of an existing parcel,Lot Line Adjustment,"2,330.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Outdoor dining areas on the public sidewalk of less than 250 sq. ft.,Zoning Conformance Review: Minor Outdoor Dining Permit,"1,107.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,More than 1 planning application to be considered in a single public hearing,Multiple Applications,,"100% Initial Fee, then 50%  thereafter",,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"Development, Use, Modification",Major Modification,"4,894.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"Development, Use, Modification",Minor Modification,"1,864.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"Development, Use, Modification",Minor Use Permit,"5,826.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Extensions,,Staff extension of a permit entitlement as authorized by Code,Permit Extension - Administrative,466.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Modification to off-street parking standards where pkg. is shared by more than 1 use,Shared Parking Permit,"3,263.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Historic Reviews,,Minor historic designation,Structure of Merit,876.00,,,,,,,"Fee is not subject to the City's annual administrative revision and increase.
Fees for Landmark Designation and Structure of Merit shall be waived for Landmarks Commissioners and nonprofit organizations with documented tax-exempt status.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Permission for a uses on a temporary basis (less than 6 months),Temporary Use Permit - All Others,949.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,,Temporary Use Permit - Sales,316.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Miscellaneous Fees,,,Temporary Use Permit - Repeat Events,369.00,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Tentative subdivision map for condominium purposes,Tentative Map,"7,924.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Modification,,Changes to the Zoning Ordinance or Zoning Ordinance Districting Map,Text Amendment Zone Change,"23,538.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Modifications to a development standard,Variance Application  (including noise),"13,750.00",,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
